x,y
-0.001000,0.009000
315359.999000,0.002122
630719.999000,-0.000656
630720.001000,-0.000656
946080.000503,0.002512
1261439.999000,0.001464
1261440.001000,0.001464
1576799.999797,0.002358
1892159.999000,0.001008
2207519.999000,-0.000143
2522879.999000,-0.000371
2522880.001000,-0.000371
2838240.000041,0.001317
3153599.999000,-0.000240
3153600.001000,-0.000240
3468960.000688,0.001588
3784319.999000,0.001250
4099679.999000,0.000959
4415039.999000,0.000353
4415040.001000,0.000353
4730400.000426,0.001971
5045759.999000,0.001320
5045760.001000,0.001320
5361120.001000,0.002376
5676480.001000,0.003215
5991839.999631,0.004772
6307199.999000,0.001397
6622559.999000,0.001101
6622560.001000,0.001101
6937920.001000,0.001558
7253280.001000,0.002472
7568640.000527,0.004141
7883999.999000,0.003624
8199359.999000,0.001612
8199360.001000,0.001612
8514720.001000,0.004075
8830080.001000,0.004907
9145439.999788,0.009824
9460799.999000,0.002256
9460800.001000,0.002256
9776160.001000,0.004586
10091520.001000,0.005718
10406879.999300,0.006120
10722239.999000,0.003840
11037599.999000,0.002090
11037600.001000,0.002090
11352960.000637,0.004293
11668319.999000,0.003805
11668320.001000,0.003805
11983680.000705,0.006916
12299039.999000,0.006378
12614399.999000,0.003067
12614400.001000,0.003067
12929760.000297,0.012392
13245119.999000,0.007334
13245120.001000,0.007334
13560479.999959,0.009983
13875839.999000,0.007109
13875840.001000,0.007109
14191199.999926,0.009924
14506559.999000,0.006656
14506560.001000,0.006656
14821919.999498,0.008597
15137279.999000,0.002742
15137280.001000,0.002742
15452640.000938,0.009866
15767999.999000,0.009639
15768000.001000,0.009639
16083359.999623,0.012186
16398719.999000,0.006560
16398720.001000,0.006560
16714080.001000,0.012019
17029439.999797,0.016735
17344799.999000,0.009612
17344800.001000,0.009612
17660160.000295,0.014308
17975519.999000,0.011749
17975520.001000,0.011749
18290880.001000,0.014010
18606239.999508,0.017986
18921599.999000,0.006296
18921600.001000,0.006296
19236960.001000,0.010921
19552319.999508,0.012013
19867679.999000,0.008803
19867680.001000,0.008803
20183040.000088,0.015841
20498399.999000,0.009937
20813759.999000,0.009370
21129119.999000,0.007505
21129120.001000,0.007505
21444480.000312,0.009575
21759839.999000,0.008491
22075199.999000,0.007474
22075200.001000,0.007474
22390559.999966,0.011971
22705919.999000,0.007160
22705920.001000,0.007160
23021280.001000,0.007166
23336639.999296,0.007513
23651999.999000,0.005520
23967359.999000,0.005301
24282719.999000,0.003451
24282720.001000,0.003451
24598080.000256,0.005538
24913439.999000,0.004302
25228799.999000,0.003581
25544159.999000,0.003089
25544160.001000,0.003089
25859520.001000,0.003156
26174880.001000,0.004063
26490240.000462,0.010381
26805599.999000,0.008056
27120959.999000,0.001956
27120960.001000,0.001956
27436319.999926,0.002844
27751679.999000,0.001814
28067039.999000,0.000775
28382399.999000,0.000572
28697759.999000,0.000226
28697760.001000,0.000226
29013120.001000,0.001579
29328479.999592,0.002334
29643839.999000,0.000539
29643840.001000,0.000539
29959199.999971,0.001934
30274559.999000,0.000454
30274560.001000,0.000454
30589920.000271,0.001023
30905279.999000,0.000697
30905280.001000,0.000697
31220640.000015,0.001373
31535999.999000,0.000716
31536000.001000,0.000716
