x,y
0.000000,0.010000
315360.000000,0.003122
630720.000000,0.000344
946080.000000,0.003512
1261440.000000,0.002464
1576800.000000,0.003358
1892160.000000,0.002008
2207520.000000,0.000857
2522880.000000,0.000629
2838240.000000,0.002317
3153600.000000,0.000760
3468960.000000,0.002588
3784320.000000,0.002250
4099680.000000,0.001959
4415040.000000,0.001353
4730400.000000,0.002971
5045760.000000,0.002320
5361120.000000,0.003376
5676480.000000,0.004215
5991840.000000,0.005772
6307200.000000,0.002397
6622560.000000,0.002101
6937920.000000,0.002558
7253280.000000,0.003472
7568640.000000,0.005141
7884000.000000,0.004624
8199360.000000,0.002612
8514720.000000,0.005075
8830080.000000,0.005907
9145440.000000,0.010824
9460800.000000,0.003256
9776160.000000,0.005586
10091520.000000,0.006718
10406880.000000,0.007120
10722240.000000,0.004840
11037600.000000,0.003090
11352960.000000,0.005293
11668320.000000,0.004805
11983680.000000,0.007916
12299040.000000,0.007378
12614400.000000,0.004067
12929760.000000,0.013392
13245120.000000,0.008334
13560480.000000,0.010983
13875840.000000,0.008109
14191200.000000,0.010924
14506560.000000,0.007656
14821920.000000,0.009597
15137280.000000,0.003742
15452640.000000,0.010866
15768000.000000,0.010639
16083360.000000,0.013186
16398720.000000,0.007560
16714080.000000,0.013019
17029440.000000,0.017735
17344800.000000,0.010612
17660160.000000,0.015308
17975520.000000,0.012749
18290880.000000,0.015010
18606240.000000,0.018986
18921600.000000,0.007296
19236960.000000,0.011921
19552320.000000,0.013013
19867680.000000,0.009803
20183040.000000,0.016841
20498400.000000,0.010937
20813760.000000,0.010370
21129120.000000,0.008505
21444480.000000,0.010575
21759840.000000,0.009491
22075200.000000,0.008474
22390560.000000,0.012971
22705920.000000,0.008160
23021280.000000,0.008166
23336640.000000,0.008513
23652000.000000,0.006520
23967360.000000,0.006301
24282720.000000,0.004451
24598080.000000,0.006538
24913440.000000,0.005302
25228800.000000,0.004581
25544160.000000,0.004089
25859520.000000,0.004156
26174880.000000,0.005063
26490240.000000,0.011381
26805600.000000,0.009056
27120960.000000,0.002956
27436320.000000,0.003844
27751680.000000,0.002814
28067040.000000,0.001775
28382400.000000,0.001572
28697760.000000,0.001226
29013120.000000,0.002579
29328480.000000,0.003334
29643840.000000,0.001539
29959200.000000,0.002934
30274560.000000,0.001454
30589920.000000,0.002023
30905280.000000,0.001697
31220640.000000,0.002373
31536000.000000,0.001716
