x,y
-0.001000,0.011000
0.001000,0.011000
315360.001000,0.004122
630719.999934,0.001344
946079.999000,0.004512
946080.001000,0.004512
1261440.000079,0.003464
1576799.999000,0.004358
1576800.001000,0.004358
1892160.001000,0.003008
2207520.001000,0.001857
2522879.999238,0.001629
2838239.999000,0.003317
2838240.001000,0.003317
3153599.999920,0.001760
3468959.999000,0.003588
3468960.001000,0.003588
3784320.001000,0.003250
4099680.001000,0.002959
4415039.999545,0.002353
4730399.999000,0.003971
4730400.001000,0.003971
5045759.999763,0.003320
5361119.999000,0.004376
5676479.999000,0.005215
5991839.999000,0.006772
5991840.001000,0.006772
6307200.001000,0.003397
6622559.999786,0.003101
6937919.999000,0.003558
7253279.999000,0.004472
7568639.999000,0.006141
7568640.001000,0.006141
7884000.001000,0.005624
8199359.999899,0.003612
8514719.999000,0.006075
8830079.999000,0.006907
9145439.999000,0.011824
9145440.001000,0.011824
9460800.000529,0.004256
9776159.999000,0.006586
10091519.999000,0.007718
10406879.999000,0.008120
10406880.001000,0.008120
10722240.001000,0.005840
11037599.999885,0.004090
11352959.999000,0.006293
11352960.001000,0.006293
11668319.999271,0.005805
11983679.999000,0.008916
11983680.001000,0.008916
12299040.001000,0.008378
12614399.999524,0.005067
12929759.999000,0.014392
12929760.001000,0.014392
13245120.000313,0.009334
13560479.999000,0.011983
13560480.001000,0.011983
13875840.000010,0.009109
14191199.999000,0.011924
14191200.001000,0.011924
14506560.000255,0.008656
14821919.999000,0.010597
14821920.001000,0.010597
15137279.999902,0.004742
15452639.999000,0.011866
15452640.001000,0.011866
15767999.999164,0.011639
16083359.999000,0.014186
16083360.001000,0.014186
16398720.000015,0.008560
16714079.999000,0.014019
17029439.999000,0.018735
17029440.001000,0.018735
17344800.000205,0.011612
17660159.999000,0.016308
17660160.001000,0.016308
17975520.000062,0.013749
18290879.999000,0.016010
18606239.999000,0.019986
18606240.001000,0.019986
18921600.000433,0.008296
19236959.999000,0.012921
19552319.999000,0.014013
19552320.001000,0.014013
19867679.999626,0.010803
20183039.999000,0.017841
20183040.001000,0.017841
20498400.001000,0.011937
20813760.001000,0.011370
21129119.999948,0.009505
21444479.999000,0.011575
21444480.001000,0.011575
21759840.001000,0.010491
22075199.999369,0.009474
22390559.999000,0.013971
22390560.001000,0.013971
22705920.000998,0.009160
23021279.999000,0.009166
23336639.999000,0.009513
23336640.001000,0.009513
23652000.001000,0.007520
23967360.001000,0.007301
24282719.999940,0.005451
24598079.999000,0.007538
24598080.001000,0.007538
24913440.001000,0.006302
25228800.001000,0.005581
25544160.000761,0.005089
25859519.999000,0.005156
26174879.999000,0.006063
26490239.999000,0.012381
26490240.001000,0.012381
26805600.001000,0.010056
27120960.000746,0.003956
27436319.999000,0.004844
27436320.001000,0.004844
27751680.001000,0.003814
28067040.001000,0.002775
28382400.001000,0.002572
28697759.999407,0.002226
29013119.999000,0.003579
29328479.999000,0.004334
29328480.001000,0.004334
29643840.000125,0.002539
29959199.999000,0.003934
29959200.001000,0.003934
30274560.000444,0.002454
30589919.999000,0.003023
30589920.001000,0.003023
30905279.999651,0.002697
31220639.999000,0.003373
31220640.001000,0.003373
31536000.001000,0.002716
