x,y
-0.001000,0.499000
0.001000,0.499000
315360.000208,0.903238
630719.999000,0.638190
630720.001000,0.638190
946079.999824,0.819000
1261439.999000,0.561006
1261440.001000,0.561006
1576800.001000,0.789008
1892159.999226,0.821616
2207519.999000,0.565115
2207520.001000,0.565115
2522880.001000,0.759000
2838239.999037,0.762430
3153599.999000,0.579014
3153600.001000,0.579014
3468960.000169,0.803075
3784319.999000,0.643794
4099679.999000,0.570781
4099680.001000,0.570781
4415040.000578,0.786750
4730399.999000,0.729002
5045759.999000,0.714764
5045760.001000,0.714764
5361120.000118,0.889000
5676479.999000,0.751569
5676480.001000,0.751569
5991839.999797,0.913865
6307199.999000,0.668993
6622559.999000,0.333003
6622560.001000,0.333003
6937920.001000,0.661407
7253279.999836,0.881092
7568639.999000,0.575096
7568640.001000,0.575096
7884000.000166,0.968999
8199359.999000,0.687485
8199360.001000,0.687485
8514720.001000,0.771953
8830079.999644,0.988000
9145439.999000,0.532897
9460799.999000,0.499004
9460800.001000,0.499004
9776160.001000,0.767559
10091519.999797,0.988000
10406879.999000,0.655241
10722239.999000,0.439764
11037599.999000,0.378996
11037600.001000,0.378996
11352960.001000,0.510585
11668320.000208,0.831793
11983679.999000,0.620989
12299039.999000,0.489014
12299040.001000,0.489014
12614400.000569,0.558991
12929759.999000,0.539758
12929760.001000,0.539758
13245119.999843,0.643311
13560479.999000,0.501114
13560480.001000,0.501114
13875840.001000,0.731918
14191199.999867,0.839015
14506559.999000,0.699000
14821919.999000,0.352703
14821920.001000,0.352703
15137280.000998,0.622384
15452639.999000,0.622084
15767999.999000,0.619015
15768000.001000,0.619015
16083359.999782,0.776888
16398719.999000,0.530823
16398720.001000,0.530823
16714080.001000,0.589467
17029439.999866,0.913681
17344799.999000,0.488988
17344800.001000,0.488988
17660160.001000,0.657006
17975520.000037,0.942178
18290879.999000,0.677256
18290880.001000,0.677256
18606240.000275,0.959097
18921599.999000,0.798998
19236959.999000,0.653748
19236960.001000,0.653748
19552320.000578,0.918835
19867679.999000,0.848043
20183039.999000,0.744475
20183040.001000,0.744475
20498399.999732,0.809012
20813759.999000,0.697233
21129119.999000,0.568196
21129120.001000,0.568196
21444480.000268,0.833676
21759839.999000,0.680419
21759840.001000,0.680419
22075200.001000,0.749026
22390560.000798,0.929000
22705919.999000,0.908829
23021279.999000,0.584606
23021280.001000,0.584606
23336640.000069,0.850992
23651999.999000,0.618977
23967359.999000,0.571922
23967360.001000,0.571922
24282720.001000,0.755010
24598080.001000,0.759322
24913440.000155,0.870116
25228799.999000,0.788988
25544159.999000,0.568774
25544160.001000,0.568774
25859520.000974,0.787102
26174879.999000,0.784252
26490239.999000,0.767760
26490240.001000,0.767760
26805599.999839,0.958994
27120959.999000,0.694547
27436319.999000,0.479387
27436320.001000,0.479387
27751680.000610,0.635634
28067039.999000,0.597730
28067040.001000,0.597730
28382400.001000,0.769014
28697759.999931,0.862971
29013119.999000,0.754992
29328479.999000,0.656985
29328480.001000,0.656985
29643840.001000,0.769000
29959199.999537,0.819002
30274559.999000,0.682814
30274560.001000,0.682814
30589919.999782,0.855692
30905279.999000,0.586618
30905280.001000,0.586618
31220640.000257,0.946726
31535999.999000,0.734012
31536000.001000,0.734012
