x,y
-0.001000,0.501000
315359.999000,0.905238
315360.001000,0.905238
630720.000189,0.640190
946079.999000,0.821000
946080.001000,0.821000
1261440.000062,0.563006
1576799.999000,0.791008
1892159.999000,0.823616
1892160.001000,0.823616
2207520.000139,0.567115
2522879.999000,0.761000
2838239.999000,0.764430
2838240.001000,0.764430
3153599.999900,0.581014
3468959.999000,0.805075
3468960.001000,0.805075
3784320.001000,0.645794
4099679.999505,0.572781
4415039.999000,0.788750
4415040.001000,0.788750
4730400.001000,0.731002
5045759.999151,0.716764
5361119.999000,0.891000
5361120.001000,0.891000
5676479.999917,0.753569
5991839.999000,0.915865
5991840.001000,0.915865
6307200.001000,0.670993
6622560.000011,0.335003
6937919.999000,0.663407
7253279.999000,0.883092
7253280.001000,0.883092
7568639.999874,0.577096
7883999.999000,0.970999
7884000.001000,0.970999
8199360.000538,0.689485
8514719.999000,0.773953
8830079.999000,0.990000
8830080.001000,0.990000
9145440.001000,0.534897
9460799.999224,0.501004
9776159.999000,0.769559
10091519.999000,0.990000
10091520.001000,0.990000
10406880.001000,0.657241
10722240.001000,0.441764
11037599.999632,0.380996
11352959.999000,0.512585
11668319.999000,0.833793
11668320.001000,0.833793
11983680.001000,0.622989
12299040.000307,0.491014
12614399.999000,0.560991
12614400.001000,0.560991
12929759.999313,0.541758
13245119.999000,0.645311
13245120.001000,0.645311
13560479.999762,0.503114
13875839.999000,0.733918
14191199.999000,0.841015
14191200.001000,0.841015
14506560.001000,0.701000
14821920.000124,0.354703
15137279.999000,0.624384
15137280.001000,0.624384
15452640.001000,0.624084
15767999.999038,0.621015
16083359.999000,0.778888
16083360.001000,0.778888
16398720.000615,0.532823
16714079.999000,0.591467
17029439.999000,0.915681
17029440.001000,0.915681
17344800.000433,0.490988
17660159.999000,0.659006
17975519.999000,0.944178
17975520.001000,0.944178
18290879.999969,0.679256
18606239.999000,0.961097
18606240.001000,0.961097
18921600.001000,0.800998
19236959.999708,0.655748
19552319.999000,0.920835
19552320.001000,0.920835
19867680.001000,0.850043
20183040.000232,0.746475
20498399.999000,0.811012
20498400.001000,0.811012
20813760.001000,0.699233
21129119.999654,0.570196
21444479.999000,0.835676
21444480.001000,0.835676
21759840.000382,0.682419
22075199.999000,0.751026
22390559.999000,0.931000
22390560.001000,0.931000
22705920.001000,0.910829
23021280.000098,0.586606
23336639.999000,0.852992
23336640.001000,0.852992
23652000.001000,0.620977
23967359.999409,0.573922
24282719.999000,0.757010
24598079.999000,0.761322
24913439.999000,0.872116
24913440.001000,0.872116
25228800.001000,0.790988
25544160.000004,0.570774
25859519.999000,0.789102
25859520.001000,0.789102
26174880.001000,0.786252
26490239.999159,0.769760
26805599.999000,0.960994
26805600.001000,0.960994
27120960.001000,0.696547
27436320.000159,0.481387
27751679.999000,0.637634
27751680.001000,0.637634
28067039.999362,0.599730
28382399.999000,0.771014
28697759.999000,0.864971
28697760.001000,0.864971
29013120.001000,0.756992
29328479.999933,0.658985
29643839.999000,0.771000
29959199.999000,0.821002
29959200.001000,0.821002
30274559.999881,0.684814
30589919.999000,0.857692
30589920.001000,0.857692
30905279.999855,0.588618
31220639.999000,0.948726
31220640.001000,0.948726
31536000.001000,0.736012
