x,y
-0.001000,293.148994
315359.999000,272.123115
630719.999000,251.454902
630720.001000,251.454902
946080.001000,274.954383
1261439.999864,275.288703
1576799.999000,274.849067
1892159.999000,268.017463
2207519.999000,262.548988
2522879.999000,255.948997
2522880.001000,255.948997
2838240.000206,270.581733
3153599.999000,260.948463
3153600.001000,260.948463
3468960.001000,271.283790
3784320.000633,272.255561
4099679.999000,272.037177
4415039.999000,263.970466
4415040.001000,263.970466
4730400.000562,274.249183
5045759.999000,271.368537
5045760.001000,271.368537
5361120.001000,273.268836
5676480.001000,278.749000
5991839.999356,280.462776
6307199.999000,272.549110
6307200.001000,272.549110
6622560.000065,280.452064
6937919.999000,273.514442
6937920.001000,273.514442
7253280.001000,273.773292
7568640.000127,285.636878
7883999.999000,276.449317
8199359.999000,273.277168
8199360.001000,273.277168
8514720.000697,281.053016
8830079.999000,279.664161
8830080.001000,279.664161
9145440.000035,298.728919
9460799.999000,280.948890
9460800.001000,280.948890
9776160.000225,282.548988
10091519.999000,281.537422
10091520.001000,281.537422
10406880.001000,288.628822
10722239.999087,288.837287
11037599.999000,284.249153
11037600.001000,284.249153
11352959.999590,287.908821
11668319.999000,279.173164
11668320.001000,279.173164
11983680.001000,291.135047
12299039.999386,293.839454
12614399.999000,282.549110
12614400.001000,282.549110
12929760.000292,302.120002
13245119.999000,291.388374
13245120.001000,291.388374
13560479.999875,300.013221
13875839.999000,288.924812
13875840.001000,288.924812
14191199.999966,291.448829
14506559.999000,288.749000
14506560.001000,288.749000
14821919.999769,303.749000
15137279.999000,279.754585
15137280.001000,279.754585
15452640.000968,296.213783
15767999.999000,295.948585
16083359.999000,295.721839
16398719.999000,292.907356
16398720.001000,292.907356
16714080.000530,300.128700
17029439.999000,297.909156
17029440.001000,297.909156
17344800.001000,299.849372
17660159.999231,301.022437
17975519.999000,292.048988
17975520.001000,292.048988
18290880.000614,300.171424
18606239.999000,298.226295
18921599.999000,285.949104
18921600.001000,285.949104
19236960.000452,296.916755
19552319.999000,292.777168
19867679.999000,289.577705
19867680.001000,289.577705
20183040.000128,300.503425
20498399.999000,292.048774
20498400.001000,292.048774
20813760.001000,293.589302
21129119.999083,293.705085
21444479.999000,291.036750
21444480.001000,291.036750
21759839.999630,292.560340
22075199.999000,289.248786
22075200.001000,289.248786
22390559.999649,292.548988
22705919.999000,285.686531
22705920.001000,285.686531
23021280.000136,292.593086
23336639.999000,287.337959
23336640.001000,287.337959
23652000.001000,288.149330
23967359.999139,288.849830
24282719.999000,279.468696
24282720.001000,279.468696
24598080.000044,285.061378
24913439.999000,279.943305
25228799.999000,279.249153
25228800.001000,279.249153
25544159.999821,282.373390
25859519.999000,277.886512
25859520.001000,277.886512
26174880.001000,280.785926
26490240.000286,293.527534
26805599.999000,286.449134
27120959.999000,274.849006
27120960.001000,274.849006
27436320.000031,284.001411
27751679.999000,275.402809
28067039.999000,270.307014
28382399.999000,265.949012
28697759.999000,261.831214
28697760.001000,261.831214
29013120.001000,271.983497
29328479.999630,277.324256
29643839.999000,265.698768
29643840.001000,265.698768
29959200.000055,272.548957
30274559.999000,266.413856
30274560.001000,266.413856
30589920.001000,267.630470
30905280.000168,269.994819
31220639.999000,268.310646
31535999.999000,267.499183
31536000.001000,267.499183
