x,y
0.000000,293.149994
315360.000000,272.124115
630720.000000,251.455902
946080.000000,274.955383
1261440.000000,275.289703
1576800.000000,274.850067
1892160.000000,268.018463
2207520.000000,262.549988
2522880.000000,255.949997
2838240.000000,270.582733
3153600.000000,260.949463
3468960.000000,271.284790
3784320.000000,272.256561
4099680.000000,272.038177
4415040.000000,263.971466
4730400.000000,274.250183
5045760.000000,271.369537
5361120.000000,273.269836
5676480.000000,278.750000
5991840.000000,280.463776
6307200.000000,272.550110
6622560.000000,280.453064
6937920.000000,273.515442
7253280.000000,273.774292
7568640.000000,285.637878
7884000.000000,276.450317
8199360.000000,273.278168
8514720.000000,281.054016
8830080.000000,279.665161
9145440.000000,298.729919
9460800.000000,280.949890
9776160.000000,282.549988
10091520.000000,281.538422
10406880.000000,288.629822
10722240.000000,288.838287
11037600.000000,284.250153
11352960.000000,287.909821
11668320.000000,279.174164
11983680.000000,291.136047
12299040.000000,293.840454
12614400.000000,282.550110
12929760.000000,302.121002
13245120.000000,291.389374
13560480.000000,300.014221
13875840.000000,288.925812
14191200.000000,291.449829
14506560.000000,288.750000
14821920.000000,303.750000
15137280.000000,279.755585
15452640.000000,296.214783
15768000.000000,295.949585
16083360.000000,295.722839
16398720.000000,292.908356
16714080.000000,300.129700
17029440.000000,297.910156
17344800.000000,299.850372
17660160.000000,301.023438
17975520.000000,292.049988
18290880.000000,300.172424
18606240.000000,298.227295
18921600.000000,285.950104
19236960.000000,296.917755
19552320.000000,292.778168
19867680.000000,289.578705
20183040.000000,300.504425
20498400.000000,292.049774
20813760.000000,293.590302
21129120.000000,293.706085
21444480.000000,291.037750
21759840.000000,292.561340
22075200.000000,289.249786
22390560.000000,292.549988
22705920.000000,285.687531
23021280.000000,292.594086
23336640.000000,287.338959
23652000.000000,288.150330
23967360.000000,288.850830
24282720.000000,279.469696
24598080.000000,285.062378
24913440.000000,279.944305
25228800.000000,279.250153
25544160.000000,282.374390
25859520.000000,277.887512
26174880.000000,280.786926
26490240.000000,293.528534
26805600.000000,286.450134
27120960.000000,274.850006
27436320.000000,284.002411
27751680.000000,275.403809
28067040.000000,270.308014
28382400.000000,265.950012
28697760.000000,261.832214
29013120.000000,271.984497
29328480.000000,277.325256
29643840.000000,265.699768
29959200.000000,272.549957
30274560.000000,266.414856
30589920.000000,267.631470
30905280.000000,269.995819
31220640.000000,268.311646
31536000.000000,267.500183
