x,y
-0.001000,293.150994
0.001000,293.150994
315360.001000,272.125115
630719.999936,251.456902
946079.999000,274.956383
1261439.999000,275.290703
1261440.001000,275.290703
1576800.001000,274.851067
1892160.001000,268.019463
2207520.001000,262.550988
2522879.999622,255.950997
2838239.999000,270.583733
2838240.001000,270.583733
3153599.999965,260.950463
3468959.999000,271.285790
3784319.999000,272.257561
3784320.001000,272.257561
4099680.001000,272.039177
4415039.999879,263.972466
4730399.999000,274.251183
4730400.001000,274.251183
5045760.000205,271.370537
5361119.999000,273.270836
5676479.999000,278.751000
5991839.999000,280.464776
5991840.001000,280.464776
6307200.000001,272.551110
6622559.999000,280.454064
6622560.001000,280.454064
6937920.000928,273.516442
7253279.999000,273.775292
7568639.999000,285.638878
7568640.001000,285.638878
7884000.001000,276.451317
8199359.999579,273.279168
8514719.999000,281.055016
8514720.001000,281.055016
8830079.999136,279.666161
9145439.999000,298.730919
9145440.001000,298.730919
9460800.000835,280.950890
9776159.999000,282.550988
9776160.001000,282.550988
10091519.999250,281.539422
10406879.999000,288.630822
10722239.999000,288.839287
10722240.001000,288.839287
11037600.000113,284.251153
11352959.999000,287.910821
11352960.001000,287.910821
11668319.999844,279.175164
11983679.999000,291.137047
12299039.999000,293.841454
12299040.001000,293.841454
12614399.999732,282.551110
12929759.999000,302.122002
12929760.001000,302.122002
13245120.000109,291.390374
13560479.999000,300.015221
13560480.001000,300.015221
13875840.000629,288.926812
14191199.999000,291.450829
14191200.001000,291.450829
14506559.999305,288.751000
14821919.999000,303.751000
14821920.001000,303.751000
15137280.000186,279.756585
15452639.999000,296.215783
15452640.001000,296.215783
15768000.001000,295.950585
16083360.001000,295.723839
16398719.999561,292.909356
16714079.999000,300.130700
16714080.001000,300.130700
17029440.000067,297.911156
17344799.999000,299.851372
17660159.999000,301.024437
17660160.001000,301.024437
17975520.000050,292.050988
18290879.999000,300.173424
18290880.001000,300.173424
18606240.001000,298.228295
18921600.000056,285.951104
19236959.999000,296.918755
19236960.001000,296.918755
19552320.001000,292.779168
19867679.999453,289.579705
20183039.999000,300.505425
20183040.001000,300.505425
20498400.000692,292.050774
20813759.999000,293.591302
21129119.999000,293.707085
21129120.001000,293.707085
21444480.000273,291.038750
21759839.999000,292.562340
21759840.001000,292.562340
22075200.000002,289.250786
22390559.999000,292.550988
22390560.001000,292.550988
22705919.999997,285.688531
23021279.999000,292.595086
23021280.001000,292.595086
23336640.000733,287.339959
23651999.999000,288.151330
23967359.999000,288.851830
23967360.001000,288.851830
24282720.000253,279.470696
24598079.999000,285.063378
24598080.001000,285.063378
24913440.001000,279.945305
25228799.999364,279.251153
25544159.999000,282.375390
25544160.001000,282.375390
25859520.000215,277.888512
26174879.999000,280.787926
26490239.999000,293.529534
26490240.001000,293.529534
26805600.001000,286.451134
27120960.000118,274.851006
27436319.999000,284.003411
27436320.001000,284.003411
27751680.001000,275.404809
28067040.001000,270.309014
28382400.001000,265.951012
28697759.999577,261.833214
29013119.999000,271.985497
29328479.999000,277.326256
29328480.001000,277.326256
29643840.000258,265.700768
29959199.999000,272.550957
29959200.001000,272.550957
30274560.000669,266.415856
30589919.999000,267.632470
30905279.999000,269.996819
30905280.001000,269.996819
31220640.001000,268.312646
31536000.001000,267.501183
