x,y
17279999.999000,-5.230937
17286047.999000,-5.472644
17292095.999000,-6.883838
17292096.001000,-6.883838
17298144.001000,-4.940468
17304192.001000,-4.937241
17310240.001000,-4.744355
17316287.999378,-4.360293
17322335.999000,-6.009902
17328383.999000,-8.310921
17334431.999000,-16.871415
17340479.999000,-17.227259
17340480.001000,-17.227259
17346528.001000,-8.482832
17352575.999317,-7.801040
17358623.999000,-11.427520
17358624.001000,-11.427520
17364672.001000,-5.014947
17370720.001000,-2.510697
17376768.000822,-1.410110
17382815.999000,-1.517417
17388863.999000,-5.635920
17394911.999000,-6.676826
17394912.001000,-6.676826
17400959.999851,-5.148158
17407007.999000,-7.211785
17407008.001000,-7.211785
17413056.001000,-5.663978
17419104.001000,-5.663557
17425151.999634,-5.484093
17431199.999000,-5.870844
17431200.001000,-5.870844
17437248.001000,-4.491328
17443296.001000,-2.309722
17449344.001000,-1.175796
17455392.001000,-0.691567
17461440.000177,-0.436441
17467487.999000,-0.614719
17467488.001000,-0.614719
17473536.001000,-0.352660
17479584.001000,-0.018214
17485631.999384,0.488795
17491679.999000,-1.647434
17497727.999000,-4.368748
17497728.001000,-4.368748
17503775.999196,-4.057542
17509823.999000,-6.917936
17509824.001000,-6.917936
17515872.001000,-4.947617
17521920.001000,-3.319221
17527968.001000,-2.064014
17534015.999707,-1.500159
17540063.999000,-2.530568
17540064.001000,-2.530568
17546112.001000,-2.101102
17552160.001000,-1.386942
17558208.001000,-1.113028
17564255.999118,-0.891843
17570303.999000,-4.403975
17576351.999000,-6.542507
17582399.999000,-12.167707
17582400.001000,-12.167707
17588448.001000,-7.950962
17594496.000261,-7.032693
17600543.999000,-7.570986
17606591.999000,-8.170090
17606592.001000,-8.170090
17612640.001000,-5.085135
17618688.001000,-2.509754
17624736.001000,-2.195091
17630784.000902,-1.964526
17636831.999000,-1.976359
17636832.001000,-1.976359
17642880.001000,-1.533144
17648927.999513,-0.869885
17654975.999000,-2.791729
17661023.999000,-9.338835
17661024.001000,-9.338835
17667072.001000,-8.767435
17673120.000022,-5.049356
17679167.999000,-8.610168
17685215.999000,-10.756623
17685216.001000,-10.756623
17691264.001000,-7.554423
17697312.001000,-5.337245
17703360.001000,-3.308125
17709408.001000,-2.799536
17715456.001000,-2.533037
17721504.000360,-2.288328
17727551.999000,-2.403442
17727552.001000,-2.403442
17733600.000195,-1.961059
17739647.999000,-2.259126
17739648.001000,-2.259126
17745695.999901,0.403458
17751743.999000,-2.846888
17757791.999000,-3.420115
17763839.999000,-6.199161
17769887.999000,-16.025330
17769888.001000,-16.025330
17775936.001000,-10.358175
17781984.001000,-9.219451
17788032.001000,-4.543280
17794080.001000,-2.469606
17800128.001000,-1.542263
17806176.001000,-1.365096
17812224.001000,-1.206303
17818272.001000,-0.502642
17824320.001000,-0.342877
17830367.999711,2.399343
17836415.999000,-2.575003
17842463.999000,-5.561365
17848511.999000,-10.456652
17854559.999000,-11.118235
17854560.001000,-11.118235
17860607.999252,-10.631040
17866655.999000,-14.010257
17866656.001000,-14.010257
17872704.001000,-9.860482
17878752.001000,-5.614055
17884800.001000,-2.174630
