x,y
17280000.000000,-5.229937
17286048.000000,-5.471644
17292096.000000,-6.882838
17298144.000000,-4.939468
17304192.000000,-4.936241
17310240.000000,-4.743355
17316288.000000,-4.359293
17322336.000000,-6.008902
17328384.000000,-8.309921
17334432.000000,-16.870415
17340480.000000,-17.226259
17346528.000000,-8.481832
17352576.000000,-7.800040
17358624.000000,-11.426520
17364672.000000,-5.013947
17370720.000000,-2.509697
17376768.000000,-1.409110
17382816.000000,-1.516417
17388864.000000,-5.634920
17394912.000000,-6.675826
17400960.000000,-5.147158
17407008.000000,-7.210785
17413056.000000,-5.662978
17419104.000000,-5.662557
17425152.000000,-5.483093
17431200.000000,-5.869844
17437248.000000,-4.490328
17443296.000000,-2.308722
17449344.000000,-1.174796
17455392.000000,-0.690567
17461440.000000,-0.435441
17467488.000000,-0.613719
17473536.000000,-0.351660
17479584.000000,-0.017214
17485632.000000,0.489795
17491680.000000,-1.646434
17497728.000000,-4.367748
17503776.000000,-4.056541
17509824.000000,-6.916936
17515872.000000,-4.946617
17521920.000000,-3.318221
17527968.000000,-2.063014
17534016.000000,-1.499159
17540064.000000,-2.529568
17546112.000000,-2.100102
17552160.000000,-1.385942
17558208.000000,-1.112028
17564256.000000,-0.890843
17570304.000000,-4.402975
17576352.000000,-6.541507
17582400.000000,-12.166707
17588448.000000,-7.949962
17594496.000000,-7.031693
17600544.000000,-7.569986
17606592.000000,-8.169090
17612640.000000,-5.084135
17618688.000000,-2.508754
17624736.000000,-2.194091
17630784.000000,-1.963526
17636832.000000,-1.975359
17642880.000000,-1.532144
17648928.000000,-0.868884
17654976.000000,-2.790729
17661024.000000,-9.337835
17667072.000000,-8.766435
17673120.000000,-5.048356
17679168.000000,-8.609168
17685216.000000,-10.755623
17691264.000000,-7.553423
17697312.000000,-5.336245
17703360.000000,-3.307125
17709408.000000,-2.798536
17715456.000000,-2.532037
17721504.000000,-2.287328
17727552.000000,-2.402442
17733600.000000,-1.960059
17739648.000000,-2.258126
17745696.000000,0.404458
17751744.000000,-2.845888
17757792.000000,-3.419115
17763840.000000,-6.198161
17769888.000000,-16.024330
17775936.000000,-10.357175
17781984.000000,-9.218451
17788032.000000,-4.542280
17794080.000000,-2.468606
17800128.000000,-1.541263
17806176.000000,-1.364096
17812224.000000,-1.205303
17818272.000000,-0.501642
17824320.000000,-0.341877
17830368.000000,2.400343
17836416.000000,-2.574003
17842464.000000,-5.560365
17848512.000000,-10.455652
17854560.000000,-11.117235
17860608.000000,-10.630040
17866656.000000,-14.009257
17872704.000000,-9.859482
17878752.000000,-5.613055
17884800.000000,-2.173630
