x,y
17279999.999000,-5.228937
17280000.001000,-5.228937
17286048.001000,-5.470644
17292095.999841,-6.881838
17298143.999000,-4.938468
17304191.999000,-4.935241
17310239.999000,-4.742355
17316287.999000,-4.358293
17316288.001000,-4.358293
17322336.001000,-6.007902
17328384.001000,-8.308921
17334432.001000,-16.869415
17340479.999078,-17.225259
17346527.999000,-8.480832
17352575.999000,-7.799040
17352576.001000,-7.799040
17358623.999722,-11.425520
17364671.999000,-5.012947
17370719.999000,-2.508697
17376767.999000,-1.408110
17376768.001000,-1.408110
17382816.001000,-1.515417
17388864.001000,-5.633920
17394911.999810,-6.674825
17400959.999000,-5.146158
17400960.001000,-5.146158
17407008.000143,-7.209785
17413055.999000,-5.661978
17419103.999000,-5.661557
17425151.999000,-5.482093
17425152.001000,-5.482093
17431199.999438,-5.868844
17437247.999000,-4.489328
17443295.999000,-2.307722
17449343.999000,-1.173796
17455391.999000,-0.689567
17461439.999000,-0.434441
17461440.001000,-0.434441
17467487.999810,-0.612719
17473535.999000,-0.350660
17479583.999000,-0.016214
17485631.999000,0.490795
17485632.001000,0.490795
17491680.001000,-1.645434
17497728.000795,-4.366748
17503775.999000,-4.055541
17503776.001000,-4.055541
17509824.000184,-6.915936
17515871.999000,-4.945617
17521919.999000,-3.317221
17527967.999000,-2.062014
17534015.999000,-1.498159
17534016.001000,-1.498159
17540064.000412,-2.528568
17546111.999000,-2.099102
17552159.999000,-1.384942
17558207.999000,-1.111028
17564255.999000,-0.889843
17564256.001000,-0.889843
17570304.001000,-4.401975
17576352.001000,-6.540507
17582400.000143,-12.165706
17588447.999000,-7.948962
17594495.999000,-7.030693
17594496.001000,-7.030693
17600544.001000,-7.568986
17606591.999325,-8.168090
17612639.999000,-5.083135
17618687.999000,-2.507754
17624735.999000,-2.193091
17630783.999000,-1.962526
17630784.001000,-1.962526
17636831.999052,-1.974359
17642879.999000,-1.531144
17648927.999000,-0.867884
17648928.001000,-0.867884
17654976.001000,-2.789729
17661024.000839,-9.336835
17667071.999000,-8.765435
17673119.999000,-5.047356
17673120.001000,-5.047356
17679168.001000,-8.608168
17685215.999803,-10.754622
17691263.999000,-7.552423
17697311.999000,-5.335245
17703359.999000,-3.306125
17709407.999000,-2.797536
17715455.999000,-2.531037
17721503.999000,-2.286328
17721504.001000,-2.286328
17727551.999413,-2.401442
17733599.999000,-1.959059
17733600.001000,-1.959059
17739647.999201,-2.257126
17745695.999000,0.405458
17745696.001000,0.405458
17751744.001000,-2.844888
17757792.001000,-3.418115
17763840.001000,-6.197161
17769888.000268,-16.023329
17775935.999000,-10.356175
17781983.999000,-9.217451
17788031.999000,-4.541280
17794079.999000,-2.467606
17800127.999000,-1.540263
17806175.999000,-1.363096
17812223.999000,-1.204303
17818271.999000,-0.500642
17824319.999000,-0.340877
17830367.999000,2.401343
17830368.001000,2.401343
17836416.001000,-2.573003
17842464.001000,-5.559365
17848512.001000,-10.454652
17854560.000152,-11.116235
17860607.999000,-10.629040
17860608.001000,-10.629040
17866655.999898,-14.008257
17872703.999000,-9.858482
17878751.999000,-5.612055
17884799.999000,-2.172630
17884800.001000,-2.172630
