x,y
17279999.999000,-2.875926
17286047.999000,-3.008797
17292095.999000,-8.383739
17292096.001000,-8.383739
17298144.001000,-2.585117
17304192.000354,3.212884
17310239.999000,0.443893
17316287.999000,-2.397319
17322335.999000,-3.304139
17328383.999000,-4.569073
17334431.999000,-17.950316
17340479.999000,-18.328911
17340480.001000,-18.328911
17346528.001000,-4.663578
17352575.999018,-4.587814
17358623.999000,-12.819530
17358624.001000,-12.819530
17364672.001000,-2.989293
17370720.001000,0.579588
17376768.001000,1.268734
17382815.999008,1.293501
17388863.999000,-4.778956
17394911.999000,-17.481875
17394912.001000,-17.481875
17400960.001000,-13.479336
17407008.001000,-7.415322
17413056.001000,-3.128646
17419104.001000,-3.113746
17425151.999059,-3.015091
17431199.999000,-6.246277
17431200.001000,-6.246277
17437248.001000,-4.778532
17443296.000168,-0.838343
17449343.999000,-3.645165
17449344.001000,-3.645165
17455392.000572,-0.273880
17461439.999000,-1.192481
17461440.001000,-1.192481
17467488.000712,0.649767
17473535.999000,0.339440
17479583.999000,0.030142
17479584.001000,0.030142
17485632.001000,1.265554
17491680.001000,4.490539
17497727.999638,5.192125
17503775.999000,3.694897
17503776.001000,3.694897
17509824.001000,6.301330
17515871.999402,6.719504
17521919.999000,5.058564
17527967.999000,3.144549
17534015.999000,2.284788
17534016.001000,2.284788
17540063.999921,3.855964
17546111.999000,2.015221
17552159.999000,0.501260
17558207.999000,0.277246
17558208.001000,0.277246
17564256.001000,0.749536
17570304.001000,4.211789
17576352.001000,8.433680
17582400.001000,11.741810
17588447.999062,11.799829
17594495.999000,9.971248
17600543.999000,6.896438
17600544.001000,6.896438
17606591.999325,7.442400
17612639.999000,4.631223
17618687.999000,2.284648
17624735.999000,1.997957
17630783.999000,1.787890
17630784.001000,1.787890
17636831.999052,1.798670
17642879.999000,1.394864
17648927.999000,1.319853
17648928.001000,1.319853
17654976.001000,3.220579
17661024.000912,9.518085
17667071.999000,9.227714
17673119.999000,7.668509
17673120.001000,7.668509
17679168.001000,13.127837
17685215.999803,16.402020
17691263.999000,11.517541
17697311.999000,8.136021
17703359.999000,3.012064
17709407.999000,2.548674
17715455.999000,2.305861
17715456.001000,2.305861
17721504.001000,3.242489
17727551.999447,3.589044
17733599.999000,2.383646
17733600.001000,2.383646
17739648.001000,2.657707
17745696.001000,3.276803
17751744.000283,6.958566
17757791.999000,4.902007
17757792.001000,4.902007
17763840.001000,9.441187
17769888.000474,19.262486
17775935.999000,15.761699
17781983.999000,14.057198
17788031.999000,6.925198
17794079.999000,3.763007
17800127.999000,2.348986
17806175.999000,2.073068
17812223.999000,1.449380
17818271.999000,-1.512315
17818272.001000,-1.512315
17824320.000005,-0.123228
17830367.999000,-1.497891
17830368.001000,-1.497891
17836416.001000,4.977588
17842464.001000,6.789987
17848512.001000,10.038371
17854560.000906,16.234739
17860607.999000,15.929738
17860608.001000,15.929738
17866655.999362,17.047427
17872703.999000,11.996310
17878751.999000,7.317973
17884799.999000,3.313218
17884800.001000,3.313218
