x,y
17280000.000000,-2.874926
17286048.000000,-3.007797
17292096.000000,-8.382739
17298144.000000,-2.584117
17304192.000000,3.213885
17310240.000000,0.444893
17316288.000000,-2.396319
17322336.000000,-3.303139
17328384.000000,-4.568073
17334432.000000,-17.949316
17340480.000000,-18.327911
17346528.000000,-4.662578
17352576.000000,-4.586814
17358624.000000,-12.818530
17364672.000000,-2.988293
17370720.000000,0.580588
17376768.000000,1.269734
17382816.000000,1.294501
17388864.000000,-4.777956
17394912.000000,-17.480875
17400960.000000,-13.478336
17407008.000000,-7.414322
17413056.000000,-3.127646
17419104.000000,-3.112746
17425152.000000,-3.014091
17431200.000000,-6.245277
17437248.000000,-4.777532
17443296.000000,-0.837343
17449344.000000,-3.644165
17455392.000000,-0.272880
17461440.000000,-1.191481
17467488.000000,0.650767
17473536.000000,0.340440
17479584.000000,0.031142
17485632.000000,1.266554
17491680.000000,4.491539
17497728.000000,5.193125
17503776.000000,3.695897
17509824.000000,6.302330
17515872.000000,6.720504
17521920.000000,5.059564
17527968.000000,3.145549
17534016.000000,2.285788
17540064.000000,3.856964
17546112.000000,2.016221
17552160.000000,0.502260
17558208.000000,0.278246
17564256.000000,0.750536
17570304.000000,4.212789
17576352.000000,8.434680
17582400.000000,11.742810
17588448.000000,11.800829
17594496.000000,9.972248
17600544.000000,6.897438
17606592.000000,7.443400
17612640.000000,4.632223
17618688.000000,2.285648
17624736.000000,1.998957
17630784.000000,1.788890
17636832.000000,1.799670
17642880.000000,1.395864
17648928.000000,1.320853
17654976.000000,3.221579
17661024.000000,9.519085
17667072.000000,9.228714
17673120.000000,7.669509
17679168.000000,13.128837
17685216.000000,16.403021
17691264.000000,11.518541
17697312.000000,8.137021
17703360.000000,3.013064
17709408.000000,2.549674
17715456.000000,2.306861
17721504.000000,3.243489
17727552.000000,3.590044
17733600.000000,2.384646
17739648.000000,2.658707
17745696.000000,3.277803
17751744.000000,6.959566
17757792.000000,4.903007
17763840.000000,9.442187
17769888.000000,19.263487
17775936.000000,15.762699
17781984.000000,14.058198
17788032.000000,6.926198
17794080.000000,3.764007
17800128.000000,2.349986
17806176.000000,2.074068
17812224.000000,1.450380
17818272.000000,-1.511315
17824320.000000,-0.122228
17830368.000000,-1.496891
17836416.000000,4.978588
17842464.000000,6.790987
17848512.000000,10.039371
17854560.000000,16.235739
17860608.000000,15.930738
17866656.000000,17.048428
17872704.000000,11.997310
17878752.000000,7.318973
17884800.000000,3.314218
