x,y
17279999.999000,-2.873926
17280000.001000,-2.873926
17286048.001000,-3.006797
17292095.999962,-8.381738
17298143.999000,-2.583117
17304191.999000,3.214885
17304192.001000,3.214885
17310240.001000,0.445893
17316288.001000,-2.395319
17322336.001000,-3.302139
17328384.001000,-4.567073
17334432.001000,-17.948316
17340479.999054,-18.326911
17346527.999000,-4.661578
17352575.999000,-4.585814
17352576.001000,-4.585814
17358623.999912,-12.817529
17364671.999000,-2.987293
17370719.999000,0.581588
17376767.999000,1.270734
17382815.999000,1.295501
17382816.001000,1.295501
17388864.001000,-4.776956
17394912.000521,-17.479874
17400959.999000,-13.477336
17407007.999000,-7.413322
17413055.999000,-3.126646
17419103.999000,-3.111746
17425151.999000,-3.013091
17425152.001000,-3.013091
17431200.000375,-6.244277
17437247.999000,-4.776532
17443295.999000,-0.836343
17443296.001000,-0.836343
17449343.999909,-3.643164
17455391.999000,-0.271880
17455392.001000,-0.271880
17461439.999665,-1.190481
17467487.999000,0.651767
17467488.001000,0.651767
17473536.001000,0.341440
17479583.999400,0.032143
17485631.999000,1.267554
17491679.999000,4.492539
17497727.999000,5.194125
17497728.001000,5.194125
17503775.999730,3.696897
17509823.999000,6.303330
17515871.999000,6.721504
17515872.001000,6.721504
17521920.001000,5.060564
17527968.001000,3.146549
17534015.999707,2.286788
17540063.999000,3.857964
17540064.001000,3.857964
17546112.001000,2.017221
17552160.001000,0.503260
17558207.999643,0.279246
17564255.999000,0.751536
17570303.999000,4.213789
17576351.999000,8.435680
17582399.999000,11.743810
17588447.999000,11.801829
17588448.001000,11.801829
17594496.001000,9.973248
17600544.000698,6.898438
17606591.999000,7.444400
17606592.001000,7.444400
17612640.001000,4.633223
17618688.001000,2.286648
17624736.001000,1.999957
17630784.000902,1.789890
17636831.999000,1.800670
17636832.001000,1.800670
17642880.001000,1.396864
17648927.999076,1.321853
17654975.999000,3.222579
17661023.999000,9.520085
17661024.001000,9.520085
17667072.001000,9.229714
17673119.999444,7.670510
17679167.999000,13.129837
17685215.999000,16.404021
17685216.001000,16.404021
17691264.001000,11.519541
17697312.001000,8.138021
17703360.001000,3.014064
17709408.001000,2.550674
17715455.999412,2.307861
17721503.999000,3.244489
17727551.999000,3.591044
17727552.001000,3.591044
17733600.000630,2.385646
17739647.999000,2.659707
17745695.999000,3.278803
17751743.999000,6.960566
17751744.001000,6.960566
17757791.999624,4.904007
17763839.999000,9.443187
17769887.999000,19.264487
17769888.001000,19.264487
17775936.001000,15.763699
17781984.001000,14.059198
17788032.001000,6.927198
17794080.001000,3.765007
17800128.001000,2.350986
17806176.001000,2.075068
17812224.001000,1.451380
17818272.000361,-1.510315
17824319.999000,-0.121228
17824320.001000,-0.121228
17830367.999350,-1.495891
17836415.999000,4.979588
17842463.999000,6.791987
17848511.999000,10.040371
17854559.999000,16.236739
17854560.001000,16.236739
17860607.999429,15.931739
17866655.999000,17.049428
17866656.001000,17.049428
17872704.001000,11.998310
17878752.001000,7.319973
17884800.001000,3.315218
