x,y
17279999.999000,-13.696084
17286047.999000,-14.328962
17286048.001000,-14.328962
17292096.000081,-6.578352
17298143.999000,-13.161254
17304191.999000,-15.138127
17304192.001000,-15.138127
17310240.001000,-14.495236
17316287.999832,-11.416378
17322335.999000,-15.735680
17328383.999000,-21.760241
17328384.001000,-21.760241
17334432.000819,-17.950316
17340479.999000,-18.328911
17346527.999000,-22.210322
17346528.001000,-22.210322
17352576.001000,-19.872721
17358624.000758,-11.552850
17364671.999000,-12.697984
17364672.001000,-12.697984
17370720.001000,-7.658171
17376768.000821,-4.359573
17382815.999000,-4.684447
17388863.999000,-10.757133
17388864.001000,-10.757133
17394912.001000,-3.670763
17400959.999282,-2.830421
17407007.999000,-7.942393
17413055.999000,-14.803856
17419103.999000,-14.828838
17419104.001000,-14.828838
17425152.001000,-14.358938
17431200.001000,-6.246277
17437247.999878,-4.778532
17443295.999000,-6.656024
17443296.001000,-6.656024
17449344.000948,1.209261
17455391.999000,1.000574
17461439.999000,0.662502
17467487.999000,-1.905248
17467488.001000,-1.905248
17473536.001000,-0.158812
17479583.999275,-0.009545
17485631.999000,-0.944947
17491679.999000,-1.276060
17497727.999000,-6.062030
17503775.999000,-12.551425
17509823.999000,-21.399859
17509824.001000,-21.399859
17515872.001000,-15.074625
17521920.001000,-9.026510
17527968.001000,-5.612486
17534015.999707,-4.078816
17540063.999000,-6.881478
17540064.001000,-6.881478
17546112.001000,-6.507083
17552160.001000,-4.227064
17558208.001000,-3.393275
17564256.001000,-2.751373
17570304.001000,-2.305747
17576351.999006,-2.288889
17582399.999000,-7.826631
17588447.999000,-18.639002
17594495.999000,-21.122037
17600543.999000,-23.419877
17606591.999000,-25.272984
17606592.001000,-25.272984
17612640.001000,-15.730335
17618688.001000,-7.763016
17624736.001000,-6.789502
17630784.000902,-6.076165
17636831.999000,-6.112774
17636832.001000,-6.112774
17642880.001000,-4.741508
17648928.000326,-2.411459
17654975.999000,-3.597020
17654976.001000,-3.597020
17661023.999071,-3.404594
17667071.999000,-8.639954
17673119.999000,-14.048464
17679167.999000,-23.415701
17685215.999000,-29.252436
17685216.001000,-29.252436
17691264.001000,-20.544720
17697312.001000,-14.515009
17703360.001000,-10.232983
17709408.001000,-8.659542
17715456.001000,-7.835047
17721504.001000,-6.872073
17727552.001000,-5.754089
17733600.001000,-2.876552
17739648.000450,-0.729918
17745695.999000,-1.543346
17751743.999000,-1.951688
17757791.999000,-10.215646
17763839.999000,-17.008444
17769887.999000,-22.826762
17775935.999000,-26.781575
17775936.001000,-26.781575
17781984.001000,-25.072537
17788032.001000,-12.355674
17794080.001000,-6.715668
17800128.001000,-4.193338
17806176.001000,-3.782082
17812224.001000,-3.731994
17818272.001000,-0.094593
17824319.999691,0.350270
17830367.999000,-0.492321
17836415.999000,-1.371017
17842463.999000,-1.850096
17848511.999000,-6.326434
17854559.999000,-24.902918
17860607.999000,-25.681470
17860608.001000,-25.681470
17866656.001000,-20.552472
17872704.001000,-14.465060
17878752.001000,-9.658909
17884800.001000,-5.913355
