x,y
17280000.000000,-13.695084
17286048.000000,-14.327962
17292096.000000,-6.577351
17298144.000000,-13.160254
17304192.000000,-15.137127
17310240.000000,-14.494236
17316288.000000,-11.415378
17322336.000000,-15.734680
17328384.000000,-21.759241
17334432.000000,-17.949316
17340480.000000,-18.327911
17346528.000000,-22.209322
17352576.000000,-19.871721
17358624.000000,-11.551849
17364672.000000,-12.696984
17370720.000000,-7.657171
17376768.000000,-4.358573
17382816.000000,-4.683447
17388864.000000,-10.756133
17394912.000000,-3.669763
17400960.000000,-2.829421
17407008.000000,-7.941393
17413056.000000,-14.802856
17419104.000000,-14.827838
17425152.000000,-14.357938
17431200.000000,-6.245277
17437248.000000,-4.777532
17443296.000000,-6.655024
17449344.000000,1.210261
17455392.000000,1.001574
17461440.000000,0.663502
17467488.000000,-1.904248
17473536.000000,-0.157812
17479584.000000,-0.008545
17485632.000000,-0.943947
17491680.000000,-1.275060
17497728.000000,-6.061030
17503776.000000,-12.550425
17509824.000000,-21.398859
17515872.000000,-15.073625
17521920.000000,-9.025510
17527968.000000,-5.611486
17534016.000000,-4.077816
17540064.000000,-6.880478
17546112.000000,-6.506083
17552160.000000,-4.226064
17558208.000000,-3.392275
17564256.000000,-2.750373
17570304.000000,-2.304747
17576352.000000,-2.287889
17582400.000000,-7.825631
17588448.000000,-18.638002
17594496.000000,-21.121037
17600544.000000,-23.418877
17606592.000000,-25.271984
17612640.000000,-15.729335
17618688.000000,-7.762016
17624736.000000,-6.788502
17630784.000000,-6.075165
17636832.000000,-6.111774
17642880.000000,-4.740508
17648928.000000,-2.410458
17654976.000000,-3.596020
17661024.000000,-3.403594
17667072.000000,-8.638954
17673120.000000,-14.047464
17679168.000000,-23.414701
17685216.000000,-29.251436
17691264.000000,-20.543720
17697312.000000,-14.514009
17703360.000000,-10.231983
17709408.000000,-8.658542
17715456.000000,-7.834047
17721504.000000,-6.871073
17727552.000000,-5.753089
17733600.000000,-2.875552
17739648.000000,-0.728918
17745696.000000,-1.542346
17751744.000000,-1.950688
17757792.000000,-10.214646
17763840.000000,-17.007444
17769888.000000,-22.825762
17775936.000000,-26.780575
17781984.000000,-25.071537
17788032.000000,-12.354674
17794080.000000,-6.714668
17800128.000000,-4.192338
17806176.000000,-3.781082
17812224.000000,-3.730994
17818272.000000,-0.093593
17824320.000000,0.351270
17830368.000000,-0.491321
17836416.000000,-1.370017
17842464.000000,-1.849096
17848512.000000,-6.325434
17854560.000000,-24.901918
17860608.000000,-25.680470
17866656.000000,-20.551472
17872704.000000,-14.464060
17878752.000000,-9.657909
17884800.000000,-5.912355
