x,y
17279999.999000,-13.694084
17280000.001000,-13.694084
17286047.999151,-14.326962
17292095.999000,-6.576351
17292096.001000,-6.576351
17298144.001000,-13.159254
17304192.000509,-15.136127
17310239.999000,-14.493236
17316287.999000,-11.414378
17316288.001000,-11.414378
17322336.001000,-15.733680
17328384.000225,-21.758240
17334431.999000,-17.948316
17334432.001000,-17.948316
17340480.001000,-18.326911
17346528.000248,-22.208321
17352575.999000,-19.870721
17358623.999000,-11.550849
17358624.001000,-11.550849
17364671.999370,-12.695984
17370719.999000,-7.656171
17376767.999000,-4.357573
17376768.001000,-4.357573
17382816.001000,-4.682447
17388863.999923,-10.755132
17394911.999000,-3.668763
17400959.999000,-2.828421
17400960.001000,-2.828421
17407008.001000,-7.940393
17413056.001000,-14.801856
17419103.999101,-14.826838
17425151.999000,-14.356938
17431199.999000,-6.244277
17437247.999000,-4.776532
17437248.001000,-4.776532
17443295.999385,-6.654023
17449343.999000,1.211261
17449344.001000,1.211261
17455392.001000,1.002574
17461440.001000,0.664502
17467488.000190,-1.903248
17473535.999000,-0.156812
17479583.999000,-0.007545
17479584.001000,-0.007545
17485632.001000,-0.942947
17491680.001000,-1.274060
17497728.001000,-6.060030
17503776.001000,-12.549425
17509824.000166,-21.397858
17515871.999000,-15.072625
17521919.999000,-9.024510
17527967.999000,-5.610486
17534015.999000,-4.076816
17534016.001000,-4.076816
17540064.000764,-6.879478
17546111.999000,-6.505083
17552159.999000,-4.225064
17558207.999000,-3.391275
17564255.999000,-2.749373
17570303.999000,-2.303747
17576351.999000,-2.286889
17576352.001000,-2.286889
17582400.001000,-7.824631
17588448.001000,-18.637002
17594496.001000,-21.120037
17600544.001000,-23.417877
17606591.999325,-25.270984
17612639.999000,-15.728335
17618687.999000,-7.761016
17624735.999000,-6.787502
17630783.999000,-6.074165
17630784.001000,-6.074165
17636831.999052,-6.110774
17642879.999000,-4.739508
17648927.999000,-2.409458
17648928.001000,-2.409458
17654976.000721,-3.595020
17661023.999000,-3.402594
17661024.001000,-3.402594
17667072.001000,-8.637954
17673120.001000,-14.046464
17679168.001000,-23.413701
17685215.999803,-29.250435
17691263.999000,-20.542720
17697311.999000,-14.513009
17703359.999000,-10.230983
17709407.999000,-8.657542
17715455.999000,-7.833047
17721503.999000,-6.870073
17727551.999000,-5.752089
17733599.999000,-2.874552
17739647.999000,-0.727918
17739648.001000,-0.727918
17745696.001000,-1.541346
17751744.001000,-1.949688
17757792.001000,-10.213646
17763840.001000,-17.006444
17769888.001000,-22.824762
17775936.000397,-26.779574
17781983.999000,-25.070537
17788031.999000,-12.353674
17794079.999000,-6.713668
17800127.999000,-4.191338
17806175.999000,-3.780082
17812223.999000,-3.729994
17818271.999000,-0.092593
17824319.999000,0.352270
17824320.001000,0.352270
17830368.001000,-0.490321
17836416.001000,-1.369017
17842464.001000,-1.848096
17848512.001000,-6.324434
17854560.001000,-24.900918
17860607.999264,-25.679469
17866655.999000,-20.550472
17872703.999000,-14.463060
17878751.999000,-9.656909
17884799.999000,-5.911355
17884800.001000,-5.911355
