x,y
17279999.999000,4.885922
17286047.999000,4.885922
17292095.999000,4.684045
17292096.001000,4.684045
17298144.001000,4.892903
17304192.000400,5.186119
17310239.999000,5.060455
17316287.999000,4.885922
17328383.999000,4.885922
17334431.999000,4.711389
17340480.001000,4.711389
17346528.000891,4.885922
17352575.999000,4.875824
17358623.999000,4.699660
17358624.001000,4.699660
17364672.001000,4.873724
17370720.001000,5.095362
17376768.000880,5.233145
17382815.999000,5.224365
17388863.999000,4.802995
17394911.999000,4.536856
17400960.001000,4.536856
17407008.001000,4.719130
17413056.001000,4.885240
17419104.001000,4.885922
17425151.999000,4.885922
17431199.999000,4.711389
17437248.001000,4.711389
17443295.999451,4.935463
17449343.999000,4.165589
17455391.999000,3.068959
17455392.001000,3.068959
17461440.001000,4.016050
17467488.001000,5.262913
17473535.999187,5.849344
17479583.999000,0.147568
17479584.001000,0.147568
17485632.000115,0.550934
17491679.999000,0.230450
17491680.001000,0.230450
17497728.000874,5.596146
17503775.999000,5.234988
17509824.001000,5.234988
17515872.001000,5.327487
17521920.001000,5.409521
17540063.999000,5.409521
17546111.999000,5.244069
17552159.999000,5.126079
17558207.999000,5.099941
17558208.001000,5.099941
17564256.001000,5.222299
17570304.001000,5.807456
17576351.999951,6.281185
17582399.999000,5.758586
17588447.999000,5.465371
17594495.999000,5.345080
17600543.999000,5.234988
17642880.001000,5.234988
17648928.001000,5.399937
17654976.001000,5.611979
17661024.000098,5.924898
17667071.999000,5.667829
17673119.999000,5.398351
17673120.001000,5.398351
17679168.001000,5.409521
17697311.999000,5.409521
17703359.999000,5.234988
17715456.001000,5.234988
17721504.001000,5.345080
17727552.001000,5.458535
17733600.001000,5.584053
17739647.999178,6.139969
17745695.999000,0.435738
17751743.999000,0.212470
17751744.001000,0.212470
17757792.001000,5.350525
17763840.001000,5.405332
17769888.000075,5.590476
17775935.999000,5.431034
17781983.999000,5.409521
17800127.999000,5.409521
17806175.999000,5.400361
17812223.999000,5.291285
17818271.999000,4.439118
17824319.999000,3.488262
17830367.999000,1.695460
17836415.999000,0.164500
17836416.001000,0.164500
17842464.000864,6.214327
17848511.999000,5.772549
17854559.999000,5.479334
17860607.999000,5.455575
17860608.001000,5.455575
17866656.001000,5.584053
17872703.999000,5.584053
17878751.999000,5.547952
17884799.999000,5.409521
17884800.001000,5.409521
