x,y
17280000.000000,4.886922
17286048.000000,4.886922
17292096.000000,4.685045
17298144.000000,4.893903
17304192.000000,5.187119
17310240.000000,5.061455
17316288.000000,4.886922
17322336.000000,4.886922
17328384.000000,4.886922
17334432.000000,4.712389
17340480.000000,4.712389
17346528.000000,4.886922
17352576.000000,4.876824
17358624.000000,4.700660
17364672.000000,4.874724
17370720.000000,5.096362
17376768.000000,5.234145
17382816.000000,5.225365
17388864.000000,4.803995
17394912.000000,4.537856
17400960.000000,4.537856
17407008.000000,4.720130
17413056.000000,4.886240
17419104.000000,4.886922
17425152.000000,4.886922
17431200.000000,4.712389
17437248.000000,4.712389
17443296.000000,4.936463
17449344.000000,4.166589
17455392.000000,3.069959
17461440.000000,4.017050
17467488.000000,5.263913
17473536.000000,5.850344
17479584.000000,0.148568
17485632.000000,0.551934
17491680.000000,0.231450
17497728.000000,5.597146
17503776.000000,5.235988
17509824.000000,5.235988
17515872.000000,5.328487
17521920.000000,5.410521
17527968.000000,5.410521
17534016.000000,5.410521
17540064.000000,5.410521
17546112.000000,5.245069
17552160.000000,5.127079
17558208.000000,5.100941
17564256.000000,5.223299
17570304.000000,5.808456
17576352.000000,6.282185
17582400.000000,5.759586
17588448.000000,5.466371
17594496.000000,5.346080
17600544.000000,5.235988
17606592.000000,5.235988
17612640.000000,5.235988
17618688.000000,5.235988
17624736.000000,5.235988
17630784.000000,5.235988
17636832.000000,5.235988
17642880.000000,5.235988
17648928.000000,5.400937
17654976.000000,5.612979
17661024.000000,5.925898
17667072.000000,5.668829
17673120.000000,5.399351
17679168.000000,5.410521
17685216.000000,5.410521
17691264.000000,5.410521
17697312.000000,5.410521
17703360.000000,5.235988
17709408.000000,5.235988
17715456.000000,5.235988
17721504.000000,5.346080
17727552.000000,5.459535
17733600.000000,5.585053
17739648.000000,6.140969
17745696.000000,0.436738
17751744.000000,0.213470
17757792.000000,5.351525
17763840.000000,5.406332
17769888.000000,5.591476
17775936.000000,5.432034
17781984.000000,5.410521
17788032.000000,5.410521
17794080.000000,5.410521
17800128.000000,5.410521
17806176.000000,5.401361
17812224.000000,5.292285
17818272.000000,4.440118
17824320.000000,3.489262
17830368.000000,1.696460
17836416.000000,0.165500
17842464.000000,6.215327
17848512.000000,5.773549
17854560.000000,5.480334
17860608.000000,5.456575
17866656.000000,5.585053
17872704.000000,5.585053
17878752.000000,5.548952
17884800.000000,5.410521
