x,y
17279999.999000,4.887922
17286048.001000,4.887922
17292095.999983,4.686045
17298143.999000,4.894903
17304191.999000,5.188119
17304192.001000,5.188119
17310240.001000,5.062455
17316288.001000,4.887922
17328384.001000,4.887922
17334432.001000,4.713389
17340479.999000,4.713389
17346527.999000,4.887922
17346528.001000,4.887922
17352576.001000,4.877824
17358624.000006,4.701660
17364671.999000,4.875724
17370719.999000,5.097362
17376767.999000,5.235145
17376768.001000,5.235145
17382816.001000,5.226365
17388864.001000,4.804995
17394912.001000,4.538856
17400959.999000,4.538856
17407007.999000,4.721130
17413055.999000,4.887240
17419103.999000,4.887922
17425152.001000,4.887922
17431200.001000,4.713389
17437247.999000,4.713389
17443295.999000,4.937463
17443296.001000,4.937463
17449344.001000,4.167589
17455392.000073,3.070959
17461439.999000,4.018050
17467487.999000,5.264913
17473535.999000,5.851344
17473536.001000,5.851344
17479584.000868,0.149568
17485631.999000,0.552934
17485632.001000,0.552934
17491679.999113,0.232450
17497727.999000,5.598146
17497728.001000,5.598146
17503776.001000,5.236988
17509823.999000,5.236988
17515871.999000,5.329487
17521919.999000,5.411521
17540064.001000,5.411521
17546112.001000,5.246069
17552160.001000,5.128079
17558207.999352,5.101941
17564255.999000,5.224299
17570303.999000,5.809456
17576351.999000,6.283185
17576352.001000,6.283185
17582400.001000,5.760586
17588448.001000,5.467371
17594496.001000,5.347080
17600544.001000,5.236988
17642879.999000,5.236988
17648927.999000,5.401937
17654975.999000,5.613979
17661023.999000,5.926898
17661024.001000,5.926898
17667072.001000,5.669829
17673120.000920,5.400351
17679167.999000,5.411521
17697312.001000,5.411521
17703360.001000,5.236988
17715455.999000,5.236988
17721503.999000,5.347080
17727551.999000,5.460535
17733599.999000,5.586053
17739647.999000,6.141969
17739648.001000,6.141969
17745696.001000,0.437738
17751743.999083,0.214470
17757791.999000,5.352525
17763839.999000,5.407332
17769887.999000,5.592476
17769888.001000,5.592476
17775936.001000,5.433034
17781984.001000,5.411521
17800128.001000,5.411521
17806176.001000,5.402361
17812224.001000,5.293285
17818272.001000,4.441118
17824320.001000,3.490262
17830368.001000,1.697460
17836415.999404,0.166501
17842463.999000,6.216327
17842464.001000,6.216327
17848512.001000,5.774549
17854560.001000,5.481334
17860607.999312,5.457575
17866655.999000,5.586053
17872704.001000,5.586053
17878752.001000,5.549952
17884800.001000,5.411521
