x,y
17279999.999000,19.215667
17280000.001000,19.215667
17286048.000054,20.104011
17292095.999000,19.307392
17298143.999000,18.164766
17304191.999000,16.361726
17310239.999000,16.258501
17316287.999000,16.015964
17316288.001000,16.015964
17322336.001000,22.078655
17328384.001000,30.536971
17334432.001000,46.471672
17340479.999114,47.452533
17346527.999000,31.168970
17352575.999000,28.590465
17352576.001000,28.590465
17358623.999365,31.529799
17364671.999000,18.362495
17370719.999000,8.488838
17376767.999000,4.588279
17376768.001000,4.588279
17382816.001000,4.960006
17388864.001000,19.302473
17394911.999964,24.530016
17400959.999000,18.911434
17400960.001000,18.911434
17407008.001000,19.867692
17413056.001000,20.804639
17419103.999003,20.805684
17425151.999000,20.146087
17431199.999000,16.161977
17437247.999000,12.362765
17443295.999000,8.434025
17449343.999000,3.762341
17455391.999000,-0.823205
17455392.001000,-0.823205
17461440.001000,0.993640
17467487.999668,1.955097
17473535.999000,0.037945
17479583.999000,-0.027522
17485631.999000,-1.291044
17491679.999000,-3.990017
17491680.001000,-3.990017
17497728.001000,3.748621
17503776.001000,13.198372
17509824.000065,22.508366
17515871.999000,14.334758
17521919.999000,7.497014
17527967.999000,4.660500
17534015.999000,3.386376
17534016.001000,3.386376
17540064.001000,5.714791
17546111.999669,6.793444
17552159.999000,4.649165
17558207.999000,3.755302
17564255.999000,2.916130
17570303.999000,0.885894
17576351.999000,-6.527536
17576352.001000,-6.527536
17582400.001000,3.777736
17588448.001000,14.009524
17594496.001000,19.568248
17600544.001000,24.634223
17606591.999325,26.584576
17612639.999000,16.542718
17618687.999000,8.161577
17624735.999000,7.137683
17630783.999000,6.387457
17630784.001000,6.387457
17636831.999052,6.425959
17642879.999000,4.983838
17648927.999000,2.035708
17648928.001000,2.035708
17654975.999101,2.183382
17661023.999000,-0.601920
17661024.001000,-0.601920
17667072.001000,4.929921
17673120.001000,11.904216
17679168.001000,19.456010
17685215.999803,24.308749
17691263.999000,17.069414
17697311.999000,12.057825
17703359.999000,10.759545
17709407.999000,9.104533
17715455.999000,8.237338
17721503.999000,6.363522
17727551.999000,4.375343
17733599.999000,1.803911
17739647.999000,-1.504955
17745695.999000,-3.392511
17751743.999000,-6.115185
17751744.001000,-6.115185
17757792.001000,9.381153
17763840.000993,14.236147
17769887.999000,14.219391
17769888.001000,14.219391
17775936.000852,21.409375
17781983.999000,20.833421
17788031.999000,10.263362
17794079.999000,5.577032
17800127.999000,3.481514
17806175.999000,3.191492
17806176.001000,3.191492
17812223.999429,3.718349
17818271.999000,1.789872
17824319.999000,-0.031261
17830367.999000,-0.672288
17836415.999000,-4.271535
17842463.999000,-4.719038
17842464.001000,-4.719038
17848512.001000,2.910349
17854560.001000,18.270147
17860607.999339,19.643947
17866655.999000,12.902302
17872703.999000,9.079414
17878751.999000,6.356644
17884799.999000,4.910460
17884800.001000,4.910460
