x,y
17279999.999000,19.217667
17286047.999000,20.106011
17286048.001000,20.106011
17292096.001000,19.309392
17298144.001000,18.166766
17304192.001000,16.363726
17310240.001000,16.260501
17316287.999077,16.017964
17322335.999000,22.080655
17328383.999000,30.538971
17334431.999000,46.473672
17340479.999000,47.454533
17340480.001000,47.454533
17346528.001000,31.170970
17352575.999935,28.592465
17358623.999000,31.531800
17358624.001000,31.531800
17364672.001000,18.364495
17370720.001000,8.490838
17376768.000826,4.590279
17382815.999000,4.962006
17388863.999000,19.304473
17394911.999000,24.532017
17394912.001000,24.532017
17400960.000709,18.913434
17407007.999000,19.869692
17413055.999000,20.806639
17419103.999000,20.807684
17419104.001000,20.807684
17425152.001000,20.148087
17431200.001000,16.163977
17437248.001000,12.364765
17443296.001000,8.436025
17449344.001000,3.764341
17455392.000432,-0.821205
17461439.999000,0.995640
17467487.999000,1.957097
17467488.001000,1.957097
17473536.001000,0.039945
17479584.001000,-0.025522
17485632.001000,-1.289044
17491679.999517,-3.988016
17497727.999000,3.750621
17503775.999000,13.200372
17509823.999000,22.510367
17509824.001000,22.510367
17515872.001000,14.336758
17521920.001000,7.499014
17527968.001000,4.662500
17534015.999707,3.388376
17540063.999000,5.716791
17546111.999000,6.795444
17546112.001000,6.795444
17552160.001000,4.651165
17558208.001000,3.757302
17564256.001000,2.918130
17570304.001000,0.887894
17576351.999837,-6.525535
17582399.999000,3.779736
17588447.999000,14.011524
17594495.999000,19.570248
17600543.999000,24.636223
17606591.999000,26.586577
17606592.001000,26.586577
17612640.001000,16.544718
17618688.001000,8.163577
17624736.001000,7.139683
17630784.000902,6.389457
17636831.999000,6.427959
17636832.001000,6.427959
17642880.001000,4.985838
17648928.000905,2.037708
17654975.999000,2.185382
17654976.001000,2.185382
17661023.999670,-0.599920
17667071.999000,4.931921
17673119.999000,11.906216
17679167.999000,19.458010
17685215.999000,24.310750
17685216.001000,24.310750
17691264.001000,17.071414
17697312.001000,12.059825
17703360.001000,10.761545
17709408.001000,9.106533
17715456.001000,8.239338
17721504.001000,6.365522
17727552.001000,4.377343
17733600.001000,1.805911
17739648.001000,-1.502955
17745696.001000,-3.390511
17751743.999299,-6.113184
17757791.999000,9.383153
17763839.999000,14.238147
17763840.001000,14.238147
17769887.999005,14.221391
17775935.999000,21.411376
17775936.001000,21.411376
17781984.001000,20.835421
17788032.001000,10.265362
17794080.001000,5.579032
17800128.001000,3.483514
17806175.999710,3.193492
17812223.999000,3.720349
17812224.001000,3.720349
17818272.001000,1.791872
17824320.001000,-0.029261
17830368.001000,-0.670288
17836416.001000,-4.269535
17842463.999111,-4.717037
17848511.999000,2.912349
17854559.999000,18.272147
17860607.999000,19.645947
17860608.001000,19.645947
17866656.001000,12.904302
17872704.001000,9.081414
17878752.001000,6.358644
17884800.001000,4.912460
