x,y
-0.001000,-2.001000
0.001000,-2.001000
0.010000,2908.601020
0.019000,-1.960592
0.021000,-1.960592
0.031000,-1.940072
0.041000,-1.919333
0.051000,-1.898367
0.061000,-1.877166
0.071000,-1.855724
0.081000,-1.834030
0.091000,-1.812077
0.101000,-1.789854
0.111000,-1.767352
0.121000,-1.744560
0.131000,-1.721465
0.141000,-1.698056
0.151000,-1.674320
0.161000,-1.650242
0.171000,-1.625808
0.181000,-1.601000
0.191000,-1.575802
0.201000,-1.550193
0.211000,-1.524155
0.221000,-1.497663
0.231000,-1.470694
0.241000,-1.443221
0.251000,-1.415214
0.261000,-1.386620
0.271000,-1.357276
0.281000,-1.326935
0.291000,-1.295301
0.301000,-1.262053
0.311000,-1.226859
0.321000,-1.189393
0.331000,-1.149348
0.341000,-1.106447
0.351000,-1.060452
0.361000,-1.011172
0.371000,-0.958468
0.381000,-0.902257
0.391000,-0.842516
0.401000,-0.779279
0.411000,-0.712641
0.421000,-0.642753
0.431000,-0.569823
0.440000,290898.849813
0.449000,-0.415914
0.451000,-0.415914
0.460000,999.865629
0.469000,-0.253512
0.471000,-0.253512
0.481000,-0.170097
0.491000,-0.085777
0.511000,0.083777
0.521000,0.168097
0.531000,0.251512
0.541000,0.333588
0.551000,0.413914
0.561000,0.492108
0.571000,0.567823
0.581000,0.640753
0.591000,0.710641
0.601000,0.777279
0.611000,0.840516
0.621000,0.900257
0.631000,0.956468
0.641000,1.009172
0.651000,1.058452
0.661000,1.104447
0.671000,1.147348
0.681000,1.187393
0.691000,1.224859
0.701000,1.260053
0.711000,1.293301
0.721000,1.324935
0.731000,1.355276
0.741000,1.384620
0.751000,1.413214
0.761000,1.441221
0.771000,1.468694
0.781000,1.495663
0.791000,1.522155
0.801000,1.548193
0.811000,1.573802
0.821000,1.599000
0.831000,1.623808
0.841000,1.648242
0.851000,1.672320
0.861000,1.696056
0.871000,1.719465
0.881000,1.742560
0.891000,1.765352
0.901000,1.787854
0.911000,1.810077
0.921000,1.832030
0.931000,1.853724
0.941000,1.875166
0.951000,1.896367
0.961000,1.917333
0.971000,1.938072
0.981000,1.958592
0.991000,1.978899
1.001000,1.999000
