x,y
0.000000,-2.000000
0.010000,-1.979899
0.020000,-1.959592
0.030000,-1.939072
0.040000,-1.918333
0.050000,-1.897367
0.060000,-1.876166
0.070000,-1.854724
0.080000,-1.833030
0.090000,-1.811077
0.100000,-1.788854
0.110000,-1.766352
0.120000,-1.743560
0.130000,-1.720465
0.140000,-1.697056
0.150000,-1.673320
0.160000,-1.649242
0.170000,-1.624808
0.180000,-1.600000
0.190000,-1.574802
0.200000,-1.549193
0.210000,-1.523155
0.220000,-1.496663
0.230000,-1.469694
0.240000,-1.442221
0.250000,-1.414214
0.260000,-1.385620
0.270000,-1.356276
0.280000,-1.325935
0.290000,-1.294301
0.300000,-1.261053
0.310000,-1.225859
0.320000,-1.188393
0.330000,-1.148348
0.340000,-1.105447
0.350000,-1.059452
0.360000,-1.010172
0.370000,-0.957468
0.380000,-0.901257
0.390000,-0.841516
0.400000,-0.778279
0.410000,-0.711641
0.420000,-0.641753
0.430000,-0.568823
0.440000,-0.493108
0.450000,-0.414914
0.460000,-0.334588
0.470000,-0.252512
0.480000,-0.169097
0.490000,-0.084777
0.500000,0.000000
0.510000,0.084777
0.520000,0.169097
0.530000,0.252512
0.540000,0.334588
0.550000,0.414914
0.560000,0.493108
0.570000,0.568823
0.580000,0.641753
0.590000,0.711641
0.600000,0.778279
0.610000,0.841516
0.620000,0.901257
0.630000,0.957468
0.640000,1.010172
0.650000,1.059452
0.660000,1.105447
0.670000,1.148348
0.680000,1.188393
0.690000,1.225859
0.700000,1.261053
0.710000,1.294301
0.720000,1.325935
0.730000,1.356276
0.740000,1.385620
0.750000,1.414214
0.760000,1.442221
0.770000,1.469694
0.780000,1.496663
0.790000,1.523155
0.800000,1.549193
0.810000,1.574802
0.820000,1.600000
0.830000,1.624808
0.840000,1.649242
0.850000,1.673320
0.860000,1.697056
0.870000,1.720465
0.880000,1.743560
0.890000,1.766352
0.900000,1.788854
0.910000,1.811077
0.920000,1.833030
0.930000,1.854724
0.940000,1.876166
0.950000,1.897367
0.960000,1.918333
0.970000,1.939072
0.980000,1.959592
0.990000,1.979899
1.000000,2.000000
