x,y
-0.001000,-3241.999000
0.009000,-323.978899
0.011000,-323.978899
0.021000,-432431.958592
0.029947,-3914649.406422
0.039000,-1.917333
0.041000,-1.917333
0.050000,-28918108.896355
0.059000,-1.875166
0.069000,-1.853724
0.079000,-1.832030
0.081000,-1.832030
0.090000,-38908.810064
0.099000,-1.787854
0.109000,-1.765352
0.119000,-1.742560
0.129000,-1.719465
0.139000,-1.696056
0.149000,-1.672320
0.159000,-1.648242
0.169000,-1.623808
0.179000,-1.599000
0.189000,-1.573802
0.199000,-1.548193
0.209000,-1.522155
0.219000,-1.495663
0.229000,-1.468694
0.239000,-1.441221
0.249000,-1.413214
0.259000,-1.384620
0.269000,-1.355276
0.279000,-1.324935
0.289000,-1.293301
0.299000,-1.260053
0.309000,-1.224859
0.319000,-1.187393
0.329000,-1.147348
0.339000,-1.104447
0.349000,-1.058452
0.351000,-1.058452
0.361000,-9.009172
0.369189,-9.784950
0.379000,-0.900257
0.389000,-0.840516
0.399000,-0.777279
0.409000,-0.710641
0.419000,-0.640753
0.429000,-0.567823
0.439000,-0.492108
0.449000,-0.413914
0.459000,-0.333588
0.469000,-0.251512
0.479000,-0.168097
0.489000,-0.083777
0.509000,0.085777
0.519000,0.170097
0.529000,0.253512
0.539000,0.335588
0.549000,0.415914
0.559000,0.494108
0.569000,0.569823
0.579000,0.642753
0.589000,0.712641
0.599000,0.779279
0.609000,0.842516
0.619000,0.902257
0.629000,0.958468
0.639000,1.011172
0.649000,1.060452
0.659000,1.106447
0.669000,1.149348
0.679000,1.189393
0.689000,1.226859
0.699000,1.262053
0.709000,1.295301
0.719000,1.326935
0.729000,1.357276
0.739000,1.386620
0.749000,1.415214
0.759000,1.443221
0.769000,1.470694
0.779000,1.497663
0.789000,1.524155
0.799000,1.550193
0.809000,1.575802
0.819000,1.601000
0.829000,1.625808
0.839000,1.650242
0.849000,1.674320
0.859000,1.698056
0.869000,1.721465
0.879000,1.744560
0.889000,1.767352
0.899000,1.789854
0.909000,1.812077
0.919000,1.834030
0.929000,1.855724
0.939000,1.877166
0.949000,1.898367
0.959000,1.919333
0.969000,1.940072
0.979000,1.960592
0.989000,1.980899
0.999000,2.001000
1.001000,2.001000
