x,y
-0.001000,-0.001000
0.001000,-0.001000
6.001000,-0.000650
12.001000,-0.000341
18.001000,-0.000074
24.001000,0.000155
30.001000,0.000350
36.001000,0.000516
42.001000,0.000654
48.001000,0.000768
54.001000,0.000860
60.001000,0.000934
66.001000,0.000990
72.001000,0.001032
78.001000,0.001060
84.001000,0.001077
90.000445,0.001083
95.999000,0.001081
101.999000,0.001070
107.999000,0.001053
113.999000,0.001031
119.999000,0.001003
125.999000,0.000971
131.999000,0.000935
137.999000,0.000897
143.999000,0.000856
149.999000,0.000813
155.999000,0.000768
161.999000,0.000722
167.999000,0.000676
173.999000,0.000628
179.999000,0.000581
185.999000,0.000533
191.999000,0.000486
197.999000,0.000439
203.999000,0.000392
209.999000,0.000346
215.999000,0.000301
221.999000,0.000256
227.999000,0.000212
233.999000,0.000169
239.999000,0.000127
245.999000,0.000086
251.999000,0.000046
257.999000,0.000007
263.999000,-0.000031
269.999000,-0.000068
275.999000,-0.000104
281.999000,-0.000138
287.999000,-0.000172
293.999000,-0.000204
299.999000,-0.000236
305.999000,-0.000266
311.999000,-0.000296
317.999000,-0.000324
323.999000,-0.000351
329.999000,-0.000378
335.999000,-0.000403
341.999000,-0.000428
347.999000,-0.000451
353.999000,-0.000474
359.999000,-0.000496
365.999000,-0.000517
371.999000,-0.000537
377.999000,-0.000556
383.999000,-0.000575
389.999000,-0.000593
395.999000,-0.000610
401.999000,-0.000627
407.999000,-0.000643
413.999000,-0.000658
419.999000,-0.000672
425.999000,-0.000686
431.999000,-0.000700
437.999000,-0.000713
443.999000,-0.000725
449.999000,-0.000737
455.999000,-0.000748
461.999000,-0.000759
467.999000,-0.000770
473.999000,-0.000780
479.999000,-0.000789
485.999000,-0.000798
491.999000,-0.000807
497.999000,-0.000816
503.999000,-0.000824
509.999000,-0.000831
515.999000,-0.000839
521.999000,-0.000846
527.999000,-0.000852
533.999000,-0.000859
539.999000,-0.000865
545.999000,-0.000871
551.999000,-0.000877
557.999000,-0.000882
563.999000,-0.000887
569.999000,-0.000892
575.999000,-0.000897
581.999000,-0.000902
587.999000,-0.000906
593.999000,-0.000910
599.999000,-0.000914
600.001000,-0.000914
