x,y
0.000000,0.000000
6.000000,0.000350
12.000000,0.000659
18.000000,0.000926
24.000000,0.001155
30.000000,0.001350
36.000000,0.001516
42.000000,0.001654
48.000000,0.001768
54.000000,0.001860
60.000000,0.001934
66.000000,0.001990
72.000000,0.002032
78.000000,0.002060
84.000000,0.002077
90.000000,0.002083
96.000000,0.002081
102.000000,0.002070
108.000000,0.002053
114.000000,0.002031
120.000000,0.002003
126.000000,0.001971
132.000000,0.001935
138.000000,0.001897
144.000000,0.001856
150.000000,0.001813
156.000000,0.001768
162.000000,0.001722
168.000000,0.001676
174.000000,0.001628
180.000000,0.001581
186.000000,0.001533
192.000000,0.001486
198.000000,0.001439
204.000000,0.001392
210.000000,0.001346
216.000000,0.001301
222.000000,0.001256
228.000000,0.001212
234.000000,0.001169
240.000000,0.001127
246.000000,0.001086
252.000000,0.001046
258.000000,0.001007
264.000000,0.000969
270.000000,0.000932
276.000000,0.000896
282.000000,0.000862
288.000000,0.000828
294.000000,0.000796
300.000000,0.000764
306.000000,0.000734
312.000000,0.000704
318.000000,0.000676
324.000000,0.000649
330.000000,0.000622
336.000000,0.000597
342.000000,0.000572
348.000000,0.000549
354.000000,0.000526
360.000000,0.000504
366.000000,0.000483
372.000000,0.000463
378.000000,0.000444
384.000000,0.000425
390.000000,0.000407
396.000000,0.000390
402.000000,0.000373
408.000000,0.000357
414.000000,0.000342
420.000000,0.000328
426.000000,0.000314
432.000000,0.000300
438.000000,0.000287
444.000000,0.000275
450.000000,0.000263
456.000000,0.000252
462.000000,0.000241
468.000000,0.000230
474.000000,0.000220
480.000000,0.000211
486.000000,0.000202
492.000000,0.000193
498.000000,0.000184
504.000000,0.000176
510.000000,0.000169
516.000000,0.000161
522.000000,0.000154
528.000000,0.000148
534.000000,0.000141
540.000000,0.000135
546.000000,0.000129
552.000000,0.000123
558.000000,0.000118
564.000000,0.000113
570.000000,0.000108
576.000000,0.000103
582.000000,0.000098
588.000000,0.000094
594.000000,0.000090
600.000000,0.000086
