x,y
-2.001000,0.599000
-1.961000,0.560942
-1.921000,0.468092
-1.881000,0.314992
-1.841000,0.097864
-1.801000,-0.173723
-1.761000,-0.456181
-1.721000,-0.650090
-1.681000,-0.667639
-1.679000,-0.667639
-1.639000,-0.551291
-1.599000,-0.398716
-1.559000,-0.274129
-1.519000,-0.217624
-1.481000,-0.217624
-1.441000,-0.274129
-1.401000,-0.398716
-1.361000,-0.551291
-1.321000,-0.667639
-1.319000,-0.667639
-1.279000,-0.650090
-1.239000,-0.456181
-1.199000,-0.173723
-1.159000,0.097864
-1.119000,0.314992
-1.079000,0.468092
-1.039000,0.560942
-1.000000,0.598049
-0.961000,0.560942
-0.921000,0.468092
-0.881000,0.314992
-0.841000,0.097865
-0.801000,-0.173723
-0.761000,-0.456181
-0.721000,-0.650090
-0.681000,-0.667638
-0.679000,-0.667638
-0.639000,-0.551291
-0.599000,-0.398716
-0.559000,-0.274129
-0.519000,-0.217624
-0.481000,-0.217624
-0.441000,-0.274129
-0.401000,-0.398716
-0.361000,-0.551291
-0.321000,-0.667638
-0.319000,-0.667638
-0.279000,-0.650090
-0.239000,-0.456181
-0.199000,-0.173723
-0.159000,0.097864
-0.119000,0.314992
-0.079000,0.468092
-0.039000,0.560942
0.000000,0.598049
0.039000,0.560942
0.079000,0.468092
0.119000,0.314992
0.159000,0.097864
0.199000,-0.173723
0.239000,-0.456181
0.279000,-0.650090
0.319000,-0.667638
0.321000,-0.667638
0.361000,-0.551291
0.401000,-0.398716
0.441000,-0.274129
0.481000,-0.217624
0.519000,-0.217624
0.559000,-0.274129
0.599000,-0.398716
0.639000,-0.551291
0.679000,-0.667638
0.681000,-0.667638
0.721000,-0.650090
0.761000,-0.456181
0.801000,-0.173723
0.841000,0.097865
0.881000,0.314992
0.921000,0.468092
0.961000,0.560942
1.000000,0.598049
1.039000,0.560942
1.079000,0.468092
1.119000,0.314992
1.159000,0.097864
1.199000,-0.173723
1.239000,-0.456181
1.279000,-0.650090
1.319000,-0.667639
1.321000,-0.667639
1.361000,-0.551291
1.401000,-0.398716
1.441000,-0.274129
1.481000,-0.217624
1.519000,-0.217624
1.559000,-0.274129
1.599000,-0.398716
1.639000,-0.551291
1.679000,-0.667639
1.681000,-0.667639
1.721000,-0.650090
1.761000,-0.456181
1.801000,-0.173723
1.841000,0.097864
1.881000,0.314992
1.921000,0.468092
1.961000,0.560942
2.001000,0.599000
