x,y
-2.001000,0.601000
-1.999000,0.601000
-1.959000,0.562942
-1.919000,0.470092
-1.879000,0.316992
-1.839000,0.099864
-1.799000,-0.171723
-1.759000,-0.454181
-1.719000,-0.648090
-1.680738,-0.664876
-1.641000,-0.549291
-1.601000,-0.396716
-1.561000,-0.272129
-1.521000,-0.215624
-1.479000,-0.215624
-1.439000,-0.272129
-1.399000,-0.396716
-1.359000,-0.549291
-1.319262,-0.664876
-1.281000,-0.648090
-1.241000,-0.454181
-1.201000,-0.171723
-1.161000,0.099864
-1.121000,0.316992
-1.081000,0.470092
-1.041000,0.562942
-1.001000,0.601000
-0.999000,0.601000
-0.959000,0.562942
-0.919000,0.470092
-0.879000,0.316992
-0.839000,0.099865
-0.799000,-0.171723
-0.759000,-0.454181
-0.719000,-0.648090
-0.680738,-0.664876
-0.641000,-0.549291
-0.601000,-0.396716
-0.561000,-0.272129
-0.521000,-0.215624
-0.481000,-0.215624
-0.479000,-0.215624
-0.439000,-0.272129
-0.399000,-0.396716
-0.359000,-0.549291
-0.319262,-0.664876
-0.281000,-0.648090
-0.241000,-0.454181
-0.201000,-0.171723
-0.161000,0.099864
-0.121000,0.316992
-0.081000,0.470092
-0.041000,0.562942
-0.001000,0.601000
0.001000,0.601000
0.041000,0.562942
0.081000,0.470092
0.121000,0.316992
0.161000,0.099864
0.201000,-0.171723
0.241000,-0.454181
0.281000,-0.648090
0.319262,-0.664876
0.359000,-0.549291
0.399000,-0.396716
0.439000,-0.272129
0.479000,-0.215624
0.481000,-0.215624
0.521000,-0.215624
0.561000,-0.272129
0.601000,-0.396716
0.641000,-0.549291
0.680738,-0.664876
0.719000,-0.648090
0.759000,-0.454181
0.799000,-0.171723
0.839000,0.099865
0.879000,0.316992
0.919000,0.470092
0.959000,0.562942
0.999000,0.601000
1.001000,0.601000
1.041000,0.562942
1.081000,0.470092
1.121000,0.316992
1.161000,0.099864
1.201000,-0.171723
1.241000,-0.454181
1.281000,-0.648090
1.319262,-0.664876
1.359000,-0.549291
1.399000,-0.396716
1.439000,-0.272129
1.479000,-0.215624
1.521000,-0.215624
1.561000,-0.272129
1.601000,-0.396716
1.641000,-0.549291
1.680738,-0.664876
1.719000,-0.648090
1.759000,-0.454181
1.799000,-0.171723
1.839000,0.099864
1.879000,0.316992
1.919000,0.470092
1.959000,0.562942
1.999000,0.601000
2.001000,0.601000
